bore	-3.1277415090823535
dull	-2.520442943545019
wast	-2.438159792290837
worst	-2.436501823435313
fail	-2.2258879167413697
routin	-2.213781184208798
suppos	-2.156026098248535
mediocr	-2.1410604994427582
flat	-2.0867465255749122
generic	-1.9853825851040474
bad	-1.9804840652461997
titl	-1.8314563036840283
thin	-1.815416196244164
video	-1.7984062960677552
bland	-1.7900165379020478
unfunni	-1.7850884725839065
squander	-1.736931175589141
tire	-1.7305245725590788
tv	-1.7245841202726704
plod	-1.709836950185493
frank	-1.7006700269697506
disguis	-1.6976197147600183
mild	-1.634784447781195
joke	-1.618886595509792
bare	-1.5794360916514012
devoid	-1.5646816587884804
miss	-1.5633197742332823
hard	-1.5616762089742566
pretenti	-1.5532292513948136
strain	-1.5396576192272453
uninspir	-1.5142106827591097
tedious	-1.5116625121212484
advic	-1.5017507948524496
stupid	-1.4941983966312011
mess	-1.482497309759456
intent	-1.4817372853240007
random	-1.466556429497849
cold	-1.464178045232158
comedian	-1.4344581991568655
attempt	-1.4266239466885533
meant	-1.4201928689512462
repetit	-1.409715451580644
obvious	-1.40351726928651
central	-1.4007732429910769
produc	-1.3986789096900116
pretend	-1.3946195606776388
pie	-1.3941380039972795
they'r	-1.394103337212148
loud	-1.3885965023689597
inconsequenti	-1.3854488275349532
heavy-hand	-1.3839543350936452
demograph	-1.378728805288683
wasn't	-1.3756665222027011
purport	-1.3734592697383476
premis	-1.3718653612467417
lifeless	-1.3579902912580448
drag	-1.3559521976437694
aw	-1.355783665711636
failur	-1.3526624218307879
imit	-1.3518375522610686
appar	-1.3513128628578566
lame	-1.3501996644096974
lousi	-1.3433662161783395
mindless	-1.338590581547871
wors	-1.332413402734725
low	-1.3295746480971176
opera	-1.321055226243148
poor	-1.3195125307210478
lack	-1.317230577988589
joyless	-1.3163650144814505
sit	-1.3147139860207122
dumb	-1.3094137608451668
pulp	-1.3030168476283104
reach	-1.3015703938537615
simplist	-1.2857567306041862
miseri	-1.2786673428781525
wrong	-1.2713385323405575
lower	-1.2586182253510352
terribl	-1.2541787655997054
disappoint	-1.252268918785591
puppet	-1.2510976055984213
action	-1.2484599700717425
scatter	-1.2470564955146806
wish	-1.2446292989990089
car	-1.2402980992201564
sympathi	-1.238098893942996
irrit	-1.237507586224437
hand	-1.2350582277896427
accompani	-1.2347500171817212
insult	-1.2272277646226588
dud	-1.2264113104052707
load	-1.224178423918033
undermin	-1.2222259721505369
pointless	-1.2211312670899561
unsurpris	-1.212014242977517
numb	-1.208951132680692
singl	-1.2079895419486968
unintent	-1.2079837857983242
inept	-1.2057551098845487
fade	-1.2026275235046493
implaus	-1.1962584725894625
predict	-1.1961967613398445
tiresom	-1.1960595648627754
screenwrit	-1.1952683780539175
exhaust	-1.1950806431069814
shallow	-1.195044980200062
self-indulg	-1.1942158244355756
total	-1.1934500847817824
elabor	-1.1908953896170376
plain	-1.1885055094092867
sketch	-1.1831317544585347
disast	-1.1827474818931005
bear	-1.1827254777134961
colleg	-1.1819804741233595
think	-1.1795763696981567
unconvinc	-1.1792237809676565
listless	-1.1778359638100395
junk	-1.1776378720170324
rehash	-1.1756154562446222
long	-1.1739487879982595
drown	-1.1727700391511677
incoher	-1.1722229418780175
puzzl	-1.1667176633098122
rise	-1.166595563427663
exercis	-1.1658974149178312
violenc	-1.164484564956364
name	-1.1642719282832221
sheridan	-1.1635136403334134
clich	-1.152407481147101
banal	-1.1521488057710043
flimsi	-1.15126103560149
mechan	-1.1508295226653436
dog	-1.1503770489802223
lazi	-1.147951646497496
hip	-1.1477988896555518
redund	-1.142063043041723
problem	-1.141063625919924
idiot	-1.14056797854104
drab	-1.1364427937104902
benigni	-1.1353210631107666
horribl	-1.1328341898733878
televis	-1.1315232094561178
ingredi	-1.1216061015478762
there	-1.120170908146441
indulg	-1.119606863586248
lacklust	-1.1120112070857109
dreari	-1.1109296737469738
wilder	-1.0982315515406476
clumsili	-1.0976182479918115
john	-1.097003677625907
claim	-1.0959233582712962
offens	-1.0949940729091079
jay	-1.0939125428298615
soggi	-1.0934557192386574
milieu	-1.0873042864230913
adam	-1.086840381791872
preachi	-1.0814267000633249
annoy	-1.0776164291440025
cartoon	-1.0770417671893076
mckay	-1.074174724435018
school	-1.0713109657159023
ambit	-1.0707594499289876
ago	-1.0688446300506889
hamper	-1.0660750006589448
stunt	-1.0645740762619662
clunker	-1.0631003265035806
ha	-1.0600996277971337
seagal	-1.0580660340918588
minut	-1.0579973186663805
dress	-1.0556055486476017
track	-1.0545203239875929
superfici	-1.047528335614154
add	-1.0471220072044636
unpleas	-1.0471070567961922
cliché	-1.046711766903394
schneider	-1.0408266865561189
fall	-1.0375721848369055
demm	-1.0362751094103428
fewer	-1.0354988479989433
heavi	-1.0339446579656915
worn	-1.0295713170874314
defeat	-1.0288930406835055
cacoyanni	-1.0279340121229614
chan	-1.0271829803465409
toss	-1.026380015202872
lose	-1.024869099363435
serv	-1.0238486867482792
chosen	-1.0235786581649424
labor	-1.022563462952023
trap	-1.0196769776459413
episod	-1.0174040573950955
satir	-1.017276103915648
profession	-1.015166695105845
equival	-1.0108379836029728
god	-1.0100691534449606
sum	-1.0053710295868135
sort	-1.0032885317032738
theater	-1.0023289539995186
supernatur	-1.000772772663093
excus	-1.0005674694882543
ridicul	-1.0005602045090516
crude	-1.0005216729784603
friday	-0.9997423201340863
51	-0.9977887195193886
cri	-0.9955510287851224
halfway	-0.994509256567796
excess	-0.9913487099011322
pool	-0.9911124605656749
motiv	-0.98949327811558
materi	-0.9892939030220951
